service_id,date,exception_type
S984J126,20180910,1
S985J112,20180910,1
S984J126,20180911,1
S985J112,20180911,1
S984J126,20180912,1
S985J112,20180912,1
S984J126,20180913,1
S986J12,20180913,1
S984J126,20180914,1
S986J12,20180914,1
S987J126,20180915,1
S988J2,20180915,1
S989J127,20180916,1
S990J127,20180916,1
S991J127,20180916,1
S984J126,20180917,1
S985J112,20180917,1
S984J126,20180918,1
S985J112,20180918,1
S984J126,20180919,1
S985J112,20180919,1
S984J126,20180920,1
S986J12,20180920,1
S984J126,20180921,1
S986J12,20180921,1
S984J126,20180922,1
S988J2,20180922,1
S989J127,20180923,1
S990J127,20180923,1
S991J127,20180923,1
S984J126,20180924,1
S985J112,20180924,1
S984J126,20180925,1
S985J112,20180925,1
S984J126,20180926,1
S985J112,20180926,1
S984J126,20180927,1
S986J12,20180927,1
S984J126,20180928,1
S986J12,20180928,1
S984J126,20180929,1
S988J2,20180929,1
S990J127,20180930,1
S991J127,20180930,1
S992J127,20180930,1
S984J126,20181001,1
S985J112,20181001,1
S984J126,20181002,1
S985J112,20181002,1
S984J126,20181003,1
S985J112,20181003,1
S984J126,20181004,1
S986J12,20181004,1
S984J126,20181005,1
S986J12,20181005,1
S984J126,20181006,1
S988J2,20181006,1
S990J127,20181007,1
S991J127,20181007,1
S992J127,20181007,1
S984J126,20181008,1
S985J112,20181008,1
S984J126,20181009,1
S985J112,20181009,1
S984J126,20181010,1
S985J112,20181010,1
S984J126,20181011,1
S986J12,20181011,1
S984J126,20181012,1
S986J12,20181012,1
S984J126,20181013,1
S988J2,20181013,1
S990J127,20181014,1
S991J127,20181014,1
S992J127,20181014,1
S984J126,20181015,1
S985J112,20181015,1
S984J126,20181016,1
S985J112,20181016,1
S984J126,20181017,1
S985J112,20181017,1
S984J126,20181018,1
S986J12,20181018,1
S984J126,20181019,1
S986J12,20181019,1
S984J126,20181020,1
S988J2,20181020,1
S990J127,20181021,1
S991J127,20181021,1
S992J127,20181021,1
